,Name,Latitude,Longitude,Rating,Review Count
327,Confraria do Sanduba,-8.04762,-34.90904,3.5,5
328,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
329,O Rei das Coxinhas,-8.0443096,-34.894249,4.5,11
330,Dalena,-8.0476161,-34.897091,4.5,9
331,Chiwake,-8.0479241,-34.8954469,5.0,5
332,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
333,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
334,China 48,-8.0403204,-34.8926697,4.5,5
335,Papaya Verde,-8.0454302,-34.8928795,4.5,4
336,Via Paladar,-8.04317,-34.893261,5.0,3
337,Com.Pão,-8.0415697,-34.8981781,5.0,4
338,Restaurante Amarelo Manga,-8.0437498,-34.8926811,4.5,3
339,Pão de Açúcar,-8.0460616,-34.8972255,4.5,6
340,Buca Trattoria,-8.0451803,-34.8933601,4.5,3
341,Panificadora e Confeitaria Espinheiro,-8.0422497,-34.8923988,4.5,3
342,Bodega do Futuro,-8.0427656,-34.8987312,4.0,7
343,DaHora Restaurante e Pizzaria,-8.0451899,-34.8937683,4.5,3
344,Famiglia Lucco,-8.0474396,-34.8949585,4.5,4
345,Ponte Nova,-8.0465311,-34.8981218,5.0,4
346,Terracio Restaurante,-8.0439501,-34.8928909,5.0,2
347,Na Venda - Chocolates e Cafés,-8.0451899,-34.8985901,5.0,3
348,Bar e Restaurante Marisqueira,-8.0073512,-34.840877,5.0,1
349,Sugoi,-7.9998088,-34.8392563,4.0,1
350,Capitania Forneria & Mar,-7.9952755,-34.838913,5.0,1
351,Sob Medida,-7.99626491926441,-34.8418368672758,1.0,1
352,Spettus Steak House,-8.103658,-34.889275,4.5,17
353,Nikko Japanese Fusion,-8.105029,-34.888829,4.5,7
354,Camarada Camarão,-8.100946254656,-34.8864100361763,4.5,8
355,Entre Amigos Praia,-8.09816842304372,-34.8840141766686,4.0,10
356,Alphaiate,-8.104383,-34.887301,4.5,4
357,Ganache Tortas Finas,-8.1124802,-34.8935699,5.0,3
358,Tomaselli,-8.1029196,-34.8864594,4.5,3
359,Benvinda,-8.10566,-34.889524,4.5,3
360,Mingus,-8.0977966,-34.8847806,5.0,3
361,Casa dos Frios,-8.1062803,-34.8901596,4.5,3
362,Empadas Santa Massa,-8.103817,-34.8866997,4.5,3
363,Wiella Bistrô,-8.1007299,-34.8876114,4.5,3
364,Underground,-8.0970402,-34.8834915,4.0,6
365,Diplomata Delicatessen,-8.1086502,-34.8903008,4.0,4
366,Ça Va Bistrô,-8.0955496,-34.8840408,4.5,4
367,Cakes Doceria,-8.1055498,-34.8895416,4.5,2
368,Italian Freddo,-8.1008997,-34.8865814,4.5,2
369,Chez Wiet Patisserie,-8.1007299,-34.8876114,4.5,2
370,Club du Vin,-8.1055403,-34.8886108,4.0,2
371,Club Bardot,-8.1101398,-34.892849,5.0,2
372,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
373,Parque 13 de Maio,-8.0569096,-34.8833885,4.5,8
374,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
375,Galeria Café Castro Alves,-8.0533199,-34.8791199,4.5,5
376,Club Miró,-8.0539904,-34.8879318,4.5,5
377,Restaurante Puxinanã,-8.0576601,-34.8803291,4.5,5
378,Bogart Café,-8.0546198,-34.8881798,4.5,5
379,Espaço Muda,-8.0533199,-34.8791199,4.5,3
380,Itapissuma,-8.0542775,-34.8812561,5.0,2
381,São Braz,-8.0543404,-34.8833504,4.5,3
382,Kovacic,-8.0527096,-34.8887444,4.5,3
383,O Vegetariano,-8.05235,-34.8889198,4.5,3
384,Rua do lazer,-8.05469513775016,-34.8873583421417,4.5,4
385,Iraq,-8.0565796,-34.8854599,3.5,6
386,Tapioca da Maria,-8.0531301,-34.8873787,4.5,3
387,Restaurante Capitão Lima,-8.0541897,-34.8778,4.0,4
388,Govinda,-8.0553703,-34.8859215,4.5,3
389,Vasconcelos Bistrô e Café,-8.0478401,-34.8891907,4.5,3
390,Igarassu,-8.0542775,-34.8812561,4.5,2
391,Restaurante Acafrao,-8.05443,-34.8880692,4.5,3
392,Sansa,-8.062973,-34.87236,4.5,8
393,Downtown Pub,-8.0639,-34.8724599,4.5,11
394,Paço do Frevo,-8.06154,-34.87092,4.5,7
395,Torre Malakoff,-8.06015249140342,-34.8711306772461,5.0,6
396,Sinagoga Kahal Zur Israel,-8.0619001,-34.8713608,4.5,7
397,Apolo Beer Café,-8.0612497,-34.872139,5.0,4
398,Bar Burburinho,-8.0640259,-34.8724022,4.5,6
399,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
400,Caravela's,-8.0620203,-34.8714104,5.0,4
401,Seu Boteco,-8.063757,-34.871309,4.5,7
402,Feirinha do Bom Jesus,-8.0621405,-34.8713989,4.5,5
403,As Galerias,-8.0612999,-34.87173,4.5,5
404,Cais do Sertão,-8.060006,-34.869925,4.5,5
405,Praça da República,-8.0613403,-34.8777199,5.0,5
406,Cioccolatte Gelateria,-8.0549221,-34.869442,5.0,4
407,Praça do Marco Zero,-8.06301333046358,-34.8712680653359,4.5,4
408,Rock & Ribs,-8.0586004,-34.8696785,4.5,4
409,Bar Teatro Mamulengo,-8.0610504,-34.8716393,4.0,5
410,São Braz Café,-8.0643997,-34.8738785,4.5,3
411,Parque de Esculturas Francisco Brennand,-8.06360159193182,-34.868788326062,4.5,4
412,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
413,Parque 13 de Maio,-8.0569096,-34.8833885,4.5,8
414,Torre Malakoff,-8.06015249140342,-34.8711306772461,5.0,6
415,Restaurante Puxinanã,-8.0576601,-34.8803291,4.5,5
416,Paço do Frevo,-8.06154,-34.87092,4.5,7
417,Praça da República,-8.0613403,-34.8777199,5.0,5
418,Sansa,-8.062973,-34.87236,4.5,8
419,Galeria Café Castro Alves,-8.0533199,-34.8791199,4.5,5
420,Sinagoga Kahal Zur Israel,-8.0619001,-34.8713608,4.5,7
421,Apolo Beer Café,-8.0612497,-34.872139,5.0,4
